date,load_AT,load_BE,load_FRA,load_GER,load_NL
2019-01-08 13:00:00,8652,12074.75,78850,67823,14257.5
2019-01-08 14:00:00,8566,11967.75,76800,66978.5,14430.5
2019-01-08 15:00:00,8597,12025.5,74250,66848,14602.25
2019-01-08 16:00:00,8887,12066,73400,67514,14722.75
2019-01-08 17:00:00,9230,12694.25,74900,69764.5,15325.5
2019-01-08 18:00:00,9109,12832.75,78850,69606.5,14674.75
2019-01-08 19:00:00,8611,12307.25,79900,67652,14122.5
2019-01-08 20:00:00,8054,11767.25,76300,63922,13619.75
2019-01-08 21:00:00,7511,11165.75,72100,60692.25,13018
2019-01-08 22:00:00,7376,11230.75,69900,58411.25,12376.5
2019-01-08 23:00:00,6895,11149.25,73150,54101.5,11584.5
2019-01-09 00:00:00,6305,10350.5,68400,52023.5,11064.75
2019-01-09 01:00:00,6036,9782.75,65350,50204.5,10601
2019-01-09 02:00:00,5930,9466.25,64450,49549.75,10251
2019-01-09 03:00:00,5812,9272,61450,49756,10160.5
2019-01-09 04:00:00,5950,9297.5,60100,50934.75,10236
2019-01-09 05:00:00,6551,9731.5,61750,53552.5,10820.75
2019-01-09 06:00:00,7416,10869,66250,59733.25,12101
2019-01-09 07:00:00,8268,11848.5,73050,64122.5,13780.75
2019-01-09 08:00:00,8645,12263.5,77150,66347.75,15418.75
2019-01-09 09:00:00,8810,12334,77900,67211.25,16305.75
2019-01-09 10:00:00,8897,12279.75,78200,67657,16617
2019-01-09 11:00:00,8913,12315.5,78150,68475.25,16686.25
2019-01-09 12:00:00,8760,12054.75,78150,68250,16641.75
2019-01-09 13:00:00,8652,12027.75,78400,67944.75,16724.75
2019-01-09 14:00:00,8566,11940.5,77100,67133,16844.25
2019-01-09 15:00:00,8597,11962.5,74400,67100.25,16932.25
2019-01-09 16:00:00,8887,11988.75,73650,67915,17168.5
2019-01-09 17:00:00,9230,12580.75,75500,70223,17862
2019-01-09 18:00:00,9109,12726.75,79100,70258.25,16802.75
2019-01-09 19:00:00,8611,12224.25,80800,68197.75,16002.75
2019-01-09 20:00:00,8054,11680.5,76800,64407.5,15473.25
2019-01-09 21:00:00,7511,11098.25,72800,61431.25,14839.5
2019-01-09 22:00:00,7376,11178,70850,58949,13969.25
2019-01-09 23:00:00,6895,11111,73900,55082,13183.25
2019-01-10 00:00:00,6295,10412.75,71750,53468.5,12577.5
2019-01-10 01:00:00,6045,9759.75,68550,51647.5,12114.75
2019-01-10 02:00:00,5948,9435.5,67600,50862.25,11675.5
2019-01-10 03:00:00,5842,9257,65200,50875,11513
2019-01-10 04:00:00,6002,9296.25,64050,52038.25,11565.25
2019-01-10 05:00:00,6645,9713.25,65850,54489.5,12060.75
2019-01-10 06:00:00,7619,10761.25,70600,60448.75,13313.75
2019-01-10 07:00:00,8524,11817.5,78100,65377.5,15297.25
2019-01-10 08:00:00,8889,12143.5,81950,67672.25,17131
2019-01-10 09:00:00,9030,12221.25,81600,68312.75,17874.25
2019-01-10 10:00:00,9114,12165.5,81400,68819.25,18027.75
2019-01-10 11:00:00,9131,12137.75,81300,69741.25,18016.25
2019-01-10 12:00:00,8980,11828.5,80850,68892.75,17758.5
2019-01-10 13:00:00,8895,11793.25,80250,68384.75,17660
2019-01-10 14:00:00,8817,11765.5,78600,67595.5,17839
2019-01-10 15:00:00,8838,11867,76100,67408,17968.25
2019-01-10 16:00:00,9092,12110.5,75750,68085.25,18316.5
2019-01-10 17:00:00,9383,12743.25,77800,70538,18881
2019-01-10 18:00:00,9245,12812.75,82650,70504.5,17690
2019-01-10 19:00:00,8750,12292.25,83950,68536,16836.5
2019-01-10 20:00:00,8183,11768.5,80400,64916,16120.75
2019-01-10 21:00:00,7626,11188,76550,61881.5,15253.75
2019-01-10 22:00:00,7471,11207,74800,59420,14125.25
2019-01-10 23:00:00,6958,11129.75,77350,55667.75,13241.75
2019-01-11 00:00:00,6446,10968,74550,51998,12602.75
2019-01-11 01:00:00,6207,10366.5,71450,50151.5,12091.75
2019-01-11 02:00:00,6105,9980.25,70550,49265,11734
2019-01-11 03:00:00,5988,9691,67950,49395.5,11529.5
2019-01-11 04:00:00,6140,9621,66250,50227.5,11550.5
2019-01-11 05:00:00,6757,9978.5,67950,52578.5,12005.25
2019-01-11 06:00:00,7718,11057,73100,58398.5,13187
2019-01-11 07:00:00,8621,11890.25,80450,63910.5,15031.5
2019-01-11 08:00:00,8979,12611.25,84550,66930.5,16939
2019-01-11 09:00:00,9108,12822,84300,67553,17431
2019-01-11 10:00:00,9172,12885,83800,67983,18175.5
2019-01-11 11:00:00,9175,12963.25,83450,69105.25,18047.5
2019-01-11 12:00:00,9007,12875.5,82800,68330.75,17843
2019-01-11 13:00:00,8902,12609.5,82300,67146,17644.5
2019-01-11 14:00:00,8814,12389.25,80150,65712.75,17492.5
2019-01-11 15:00:00,8839,12331.25,77400,65235.25,17273.25
2019-01-11 16:00:00,9096,12294,76100,66107,17319.25
2019-01-11 17:00:00,9382,12735.5,77550,68696.75,17631.5
2019-01-11 18:00:00,9236,12571,81750,68701.25,16532.75
2019-01-11 19:00:00,8739,11954,82250,66673.75,15813.5
2019-01-11 20:00:00,8175,11338.25,78800,62715.25,15147.25
2019-01-11 21:00:00,7627,10774.75,75250,59396.5,14335.75
2019-01-11 22:00:00,7474,10915.25,73450,57408.25,13533.25
2019-01-11 23:00:00,6976,10917.75,76200,53434.75,12772.25
2019-01-12 00:00:00,6317,10426,72800,50593.5,12025.75
2019-01-12 01:00:00,6012,9851.25,69800,48697.5,11521
2019-01-12 02:00:00,5880,9416.75,68750,47746.75,11040.25
2019-01-12 03:00:00,5696,9137.25,65450,47488,10682.75
2019-01-12 04:00:00,5723,9085.25,63300,47687.5,10558.25
2019-01-12 05:00:00,5998,9105.5,63200,47819.5,10724.5
2019-01-12 06:00:00,6341,9376,64550,48869.75,11156
2019-01-12 07:00:00,6945,9782.5,66950,51388,12090.5
2019-01-12 08:00:00,7380,10367.5,69400,54548.5,13215.75
2019-01-12 09:00:00,7672,10830.5,71650,57384.75,13994
2019-01-12 10:00:00,7785,11110,72800,58687.5,14541.5
2019-01-12 11:00:00,7808,11229.75,73000,59859,14623.75
2019-01-12 12:00:00,7693,11393.75,73800,59351.25,14411.25
2019-01-12 13:00:00,7545,11147.25,73200,58009.75,14162
2019-01-12 14:00:00,7466,11039.25,70000,56399,14169.5
2019-01-12 15:00:00,7529,10923.75,67450,56387.75,14267.5
2019-01-12 16:00:00,7824,11028.25,66350,57650,14592.75
2019-01-12 17:00:00,8123,11583.5,67250,60479.25,15076.5
2019-01-12 18:00:00,7965,11647.75,72050,61126.75,14241.75
2019-01-12 19:00:00,7542,11202.75,73650,59296.5,13657.25
2019-01-12 20:00:00,7159,10650.25,71500,56050.5,13195
2019-01-12 21:00:00,6740,10172,68450,53726.5,12556.5
2019-01-12 22:00:00,6725,10265.5,67500,52604.5,11839
2019-01-12 23:00:00,6272,10334.75,70850,49368.75,11237.25
2019-01-13 00:00:00,5936,9595.5,67400,47428.5,10914.75
2019-01-13 01:00:00,5672,9094.5,64700,45654.75,10591
2019-01-13 02:00:00,5524,8797.25,63700,44725.75,10276.75
2019-01-13 03:00:00,5327,8493.75,59900,44471.5,10262
2019-01-13 04:00:00,5311,8266,57100,44475.75,10379.25
2019-01-13 05:00:00,5474,8315.5,56300,44105.75,10634.75
2019-01-13 06:00:00,5629,8530.5,57000,43462.25,11008.25
2019-01-13 07:00:00,6111,8679.25,58050,45721.75,11572.75
