"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar  [MW] Intraday / BZN|DE-LU","Generation - Solar  [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore  [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore  [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-LU"
"03.01.2023 01:30 - 03.01.2023 01:45","0","0","","4223","4123","","15373","17313",""
"03.01.2023 01:45 - 03.01.2023 02:00","0","0","","4184","4085","","15085","17085",""
"03.01.2023 02:00 - 03.01.2023 02:15","0","0","","4142","4006","","14779","17025",""
"03.01.2023 02:15 - 03.01.2023 02:30","0","0","","4089","3947","","14509","16600",""
"03.01.2023 02:30 - 03.01.2023 02:45","0","0","","4036","3859","","14245","16171",""
"03.01.2023 02:45 - 03.01.2023 03:00","0","0","","3978","3889","","13987","15754",""
"03.01.2023 03:00 - 03.01.2023 03:15","0","0","","3922","3873","","13738","15574",""
"03.01.2023 03:15 - 03.01.2023 03:30","0","0","","3860","3744","","13549","15192",""
"03.01.2023 03:30 - 03.01.2023 03:45","0","0","","3795","3675","","13355","14917",""
"03.01.2023 03:45 - 03.01.2023 04:00","0","0","","3738","3608","","13165","14680",""
"03.01.2023 04:00 - 03.01.2023 04:15","0","0","","3677","3571","","12974","14463",""
"03.01.2023 04:15 - 03.01.2023 04:30","0","0","","3597","3524","","12728","14064",""
"03.01.2023 04:30 - 03.01.2023 04:45","0","0","","3522","3435","","12481","13841",""
"03.01.2023 04:45 - 03.01.2023 05:00","0","0","","3449","3400","","12227","13585",""
"03.01.2023 05:00 - 03.01.2023 05:15","0","0","","3371","3357","","11969","13276",""
"03.01.2023 05:15 - 03.01.2023 05:30","0","0","","3287","3297","","11712","12926",""
"03.01.2023 05:30 - 03.01.2023 05:45","0","0","","3206","3206","","11456","12769",""
"03.01.2023 05:45 - 03.01.2023 06:00","0","0","","3127","3135","","11200","12537",""
"03.01.2023 06:00 - 03.01.2023 06:15","0","0","","3017","3052","","11047","12348",""
"03.01.2023 06:15 - 03.01.2023 06:30","0","0","","2945","2945","","10850","11947",""
"03.01.2023 06:30 - 03.01.2023 06:45","0","0","","2872","2938","","10629","11811",""
"03.01.2023 06:45 - 03.01.2023 07:00","0","0","","2801","2859","","10362","11647",""
"03.01.2023 07:00 - 03.01.2023 07:15","0","0","","2733","2763","","10083","11255",""
"03.01.2023 07:15 - 03.01.2023 07:30","0","0","","2696","2759","","9914","11287",""
"03.01.2023 07:30 - 03.01.2023 07:45","0","0","","2662","2659","","9790","11371",""
"03.01.2023 07:45 - 03.01.2023 08:00","0","0","","2627","2627","","9686","11275",""
"03.01.2023 08:00 - 03.01.2023 08:15","24","9","","2599","2605","","9596","11167",""
"03.01.2023 08:15 - 03.01.2023 08:30","94","45","","2616","2630","","9535","11012",""
"03.01.2023 08:30 - 03.01.2023 08:45","539","354","","2634","2646","","9479","10811",""
"03.01.2023 08:45 - 03.01.2023 09:00","1015","797","","2649","2666","","9447","10682",""
"03.01.2023 09:00 - 03.01.2023 09:15","1608","1492","","2672","2686","","9409","10612",""
"03.01.2023 09:15 - 03.01.2023 09:30","2299","2267","","2734","2737","","9323","10406",""
"03.01.2023 09:30 - 03.01.2023 09:45","3055","3051","","2798","2779","","9235","10205",""
"03.01.2023 09:45 - 03.01.2023 10:00","3817","3828","","2865","2823","","9119","9952",""
"03.01.2023 10:00 - 03.01.2023 10:15","4560","4605","","2936","2859","","9004","9695",""
"03.01.2023 10:15 - 03.01.2023 10:30","5297","5355","","3045","2957","","8794","9347",""
"03.01.2023 10:30 - 03.01.2023 10:45","6014","6113","","3152","3035","","8583","9001",""
"03.01.2023 10:45 - 03.01.2023 11:00","6663","6771","","3255","3111","","8405","8693",""
"03.01.2023 11:00 - 03.01.2023 11:15","7231","7358","","3362","3181","","8229","8389",""
"03.01.2023 11:15 - 03.01.2023 11:30","7732","7909","","3453","3228","","8170","8237",""
"03.01.2023 11:30 - 03.01.2023 11:45","8125","8322","","3546","3278","","8111","8088",""
"03.01.2023 11:45 - 03.01.2023 12:00","8386","8621","","3644","3325","","8056","7972",""
"03.01.2023 12:00 - 03.01.2023 12:15","8569","8877","","3744","3369","","8011","7862",""
"03.01.2023 12:15 - 03.01.2023 12:30","8612","9023","","3827","3393","","8078","7830",""
"03.01.2023 12:30 - 03.01.2023 12:45","8559","9046","","3911","3416","","8156","7780",""
"03.01.2023 12:45 - 03.01.2023 13:00","8417","8973","","3997","3431","","8263","7738",""
"03.01.2023 13:00 - 03.01.2023 13:15","8188","8835","","4100","3473","","8346","7681",""
"03.01.2023 13:15 - 03.01.2023 13:30","7832","8577","","4255","3636","","8337","7605",""
"03.01.2023 13:30 - 03.01.2023 13:45","7387","8199","","4404","3793","","8298","7530",""
"03.01.2023 13:45 - 03.01.2023 14:00","6845","7705","","4549","3959","","8247","7472",""
"03.01.2023 14:00 - 03.01.2023 14:15","6259","6854","","4680","4126","","8205","7354",""
"03.01.2023 14:15 - 03.01.2023 14:30","5592","6124","","4792","4288","","8122","7253",""
"03.01.2023 14:30 - 03.01.2023 14:45","4822","5254","","4892","4455","","8042","7151",""
"03.01.2023 14:45 - 03.01.2023 15:00","3975","4304","","4977","4594","","7969","7062",""
"03.01.2023 15:00 - 03.01.2023 15:15","3109","3354","","5057","4685","","7922","7002",""
"03.01.2023 15:15 - 03.01.2023 15:30","2339","2465","","5119","4778","","8126","7145",""
"03.01.2023 15:30 - 03.01.2023 15:45","1615","1628","","5167","4867","","8327","7292",""
"03.01.2023 15:45 - 03.01.2023 16:00","983","952","","5216","4947","","8551","7448",""
"03.01.2023 16:00 - 03.01.2023 16:15","549","502","","5254","5029","","8791","7619",""
"03.01.2023 16:15 - 03.01.2023 16:30","226","200","","5324","5104","","9287","8051",""
"03.01.2023 16:30 - 03.01.2023 16:45","48","47","","5390","5211","","9782","8484",""
"03.01.2023 16:45 - 03.01.2023 17:00","8","8","","5468","5323","","10280","8914",""
"03.01.2023 17:00 - 03.01.2023 17:15","0","0","","5573","5366","","10793","9354",""
