date,price_AT,price_BE,price_GER,price_NL
2019-01-09 15:00:00,65.92,56.34,49.95,53.95
2019-01-09 16:00:00,64.99,64.98,53.82,64.37
2019-01-09 17:00:00,64.96,73.93,55.94,75.64
2019-01-09 18:00:00,64.96,74.69,54.19,74.22
2019-01-09 19:00:00,64.91,56.3,54.19,55.98
2019-01-09 20:00:00,56.2,56.3,52.98,54.73
2019-01-09 21:00:00,54.54,56.3,51.68,50.02
2019-01-09 22:00:00,62.94,56.3,48.95,52.64
2019-01-09 23:00:00,55.12,51.27,47.63,50.31
2019-01-10 00:00:00,58.46,52.69,46.48,51.07
2019-01-10 01:00:00,50.55,49.8,49.08,49.61
2019-01-10 02:00:00,50.96,49.19,47.11,48.63
2019-01-10 03:00:00,48.8,48.8,48.8,48.8
2019-01-10 04:00:00,48.5,48.5,48.5,48.5
2019-01-10 05:00:00,49.8,49.8,49.8,49.8
2019-01-10 06:00:00,62.92,60.08,56.97,59.29
2019-01-10 07:00:00,72.6,72.6,72.6,72.6
2019-01-10 08:00:00,81.17,81.17,81.17,81.17
2019-01-10 09:00:00,81.79,81.79,81.79,81.79
2019-01-10 10:00:00,81.15,81.15,81.15,81.15
2019-01-10 11:00:00,80.0,80.0,80.0,80.0
2019-01-10 12:00:00,76.39,76.39,76.39,76.39
2019-01-10 13:00:00,75.0,75.0,75.0,75.0
2019-01-10 14:00:00,76.06,76.06,76.06,76.06
2019-01-10 15:00:00,75.4,75.4,75.4,75.4
2019-01-10 16:00:00,76.78,76.78,76.78,76.78
2019-01-10 17:00:00,83.45,83.45,83.45,83.45
2019-01-10 18:00:00,85.15,85.15,85.15,85.15
2019-01-10 19:00:00,78.16,78.16,78.16,78.16
2019-01-10 20:00:00,71.92,71.92,71.92,71.92
2019-01-10 21:00:00,67.5,67.43,67.43,67.25
2019-01-10 22:00:00,65.48,62.84,60.49,62.04
2019-01-10 23:00:00,56.19,56.15,54.45,51.07
2019-01-11 00:00:00,50.52,53.54,47.84,46.0
2019-01-11 01:00:00,48.43,49.37,46.58,44.2
2019-01-11 02:00:00,47.19,49.5,45.74,45.43
2019-01-11 03:00:00,51.18,47.39,43.81,46.42
2019-01-11 04:00:00,47.01,47.16,46.24,45.0
2019-01-11 05:00:00,47.52,46.54,46.46,43.5
2019-01-11 06:00:00,52.81,54.2,51.29,50.0
2019-01-11 07:00:00,63.06,70.31,60.53,54.78
2019-01-11 08:00:00,64.1,76.57,60.02,60.02
2019-01-11 09:00:00,65.99,70.31,62.92,69.96
2019-01-11 10:00:00,64.91,74.14,61.58,70.27
2019-01-11 11:00:00,64.01,72.74,60.6,71.33
2019-01-11 12:00:00,58.53,56.96,51.89,53.61
2019-01-11 13:00:00,66.01,53.0,50.8,52.48
2019-01-11 14:00:00,64.31,53.08,45.46,50.96
2019-01-11 15:00:00,66.95,52.43,42.2,50.69
2019-01-11 16:00:00,66.08,53.01,45.0,51.17
2019-01-11 17:00:00,66.92,71.2,51.51,65.0
2019-01-11 18:00:00,64.96,72.4,48.59,52.11
2019-01-11 19:00:00,54.27,65.12,49.2,51.28
2019-01-11 20:00:00,47.19,69.37,44.99,51.17
2019-01-11 21:00:00,47.18,57.7,44.93,47.37
2019-01-11 22:00:00,48.61,57.7,46.4,46.45
2019-01-11 23:00:00,44.76,61.56,43.46,45.88
2019-01-12 00:00:00,49.56,67.17,47.24,46.8
2019-01-12 01:00:00,47.09,49.34,45.88,46.48
2019-01-12 02:00:00,44.98,47.35,44.61,49.0
2019-01-12 03:00:00,45.08,43.96,42.9,43.69
2019-01-12 04:00:00,42.44,43.6,42.03,46.27
2019-01-12 05:00:00,44.03,42.98,39.33,42.6
2019-01-12 06:00:00,42.98,42.98,42.98,42.98
2019-01-12 07:00:00,43.06,51.36,41.23,50.99
2019-01-12 08:00:00,44.42,54.89,42.12,54.5
2019-01-12 09:00:00,48.25,62.11,45.1,62.11
2019-01-12 10:00:00,48.2,65.0,44.27,65.0
2019-01-12 11:00:00,48.16,65.25,44.18,64.01
2019-01-12 12:00:00,46.47,62.0,42.05,51.98
2019-01-12 13:00:00,43.08,62.0,38.61,49.0
2019-01-12 14:00:00,44.03,62.0,37.76,51.75
2019-01-12 15:00:00,45.04,62.0,33.03,52.5
2019-01-12 16:00:00,45.09,54.69,35.84,52.81
2019-01-12 17:00:00,46.45,62.0,44.24,59.47
2019-01-12 18:00:00,48.89,65.0,46.29,49.9
2019-01-12 19:00:00,44.09,62.0,40.05,49.59
2019-01-12 20:00:00,40.03,51.85,38.15,48.42
2019-01-12 21:00:00,45.08,52.29,30.26,49.0
2019-01-12 22:00:00,41.45,53.67,40.2,47.58
2019-01-12 23:00:00,33.17,52.44,30.89,47.55
2019-01-13 00:00:00,40.05,53.32,23.35,52.4
2019-01-13 01:00:00,43.03,46.7,12.4,47.93
2019-01-13 02:00:00,43.03,43.9,19.01,43.44
2019-01-13 03:00:00,43.01,32.7,23.51,33.48
2019-01-13 04:00:00,28.06,27.38,23.25,34.63
2019-01-13 05:00:00,38.01,28.35,20.01,34.63
2019-01-13 06:00:00,34.54,29.08,20.8,28.97
2019-01-13 07:00:00,22.77,29.79,22.14,40.0
2019-01-13 08:00:00,29.68,29.65,23.68,38.3
2019-01-13 09:00:00,43.04,43.7,25.05,47.33
2019-01-13 10:00:00,43.06,49.63,26.3,48.8
2019-01-13 11:00:00,43.06,54.74,30.81,51.5
2019-01-13 12:00:00,44.01,52.95,27.06,51.52
2019-01-13 13:00:00,44.05,58.28,8.5,50.99
2019-01-13 14:00:00,53.1,43.9,-0.08,50.0
2019-01-13 15:00:00,44.09,33.35,-0.01,50.84
2019-01-13 16:00:00,44.08,33.06,-0.27,51.82
2019-01-13 17:00:00,44.02,52.48,21.55,72.5
2019-01-13 18:00:00,44.02,58.59,24.04,51.55
2019-01-13 19:00:00,43.1,55.79,15.91,51.73
2019-01-13 20:00:00,44.01,58.57,-0.02,48.28
2019-01-13 21:00:00,41.76,43.7,-0.33,47.61
2019-01-13 22:00:00,38.0,50.04,3.04,45.1
2019-01-13 23:00:00,36.08,46.57,-7.28,42.2
2019-01-14 00:00:00,0.05,46.8,-3.14,46.52
2019-01-14 01:00:00,0.07,33.93,-12.0,42.4
2019-01-14 02:00:00,23.22,28.59,-15.04,46.48
2019-01-14 03:00:00,0.07,29.58,-11.09,46.37
2019-01-14 04:00:00,1.8,37.42,-4.94,45.0
2019-01-14 05:00:00,3.62,36.14,1.59,46.67
2019-01-14 06:00:00,37.82,51.9,35.9,50.41
2019-01-14 07:00:00,53.67,63.67,51.22,58.0
2019-01-14 08:00:00,54.28,66.15,51.66,63.14
2019-01-14 09:00:00,51.08,66.57,46.09,66.3
2019-01-14 10:00:00,50.69,76.37,50.26,65.5
2019-01-14 11:00:00,48.87,55.94,44.49,51.94
2019-01-14 12:00:00,47.36,44.04,41.24,48.3
2019-01-14 13:00:00,42.28,72.7,38.91,51.57
2019-01-14 14:00:00,47.1,55.43,41.79,51.73
2019-01-14 15:00:00,52.24,64.04,49.63,62.12
2019-01-14 16:00:00,54.45,71.74,50.93,65.17
2019-01-14 17:00:00,56.16,80.62,51.25,85.74
2019-01-14 18:00:00,55.65,69.7,50.93,63.14
2019-01-14 19:00:00,55.53,69.7,50.52,56.0
2019-01-14 20:00:00,54.5,59.24,49.61,52.14
2019-01-14 21:00:00,48.59,55.17,44.3,55.0
2019-01-14 22:00:00,42.8,58.2,41.29,51.68
2019-01-14 23:00:00,38.4,52.0,37.26,47.43
2019-01-15 00:00:00,39.81,58.08,35.18,46.67
2019-01-15 01:00:00,38.61,49.0,35.82,42.0
2019-01-15 02:00:00,37.65,43.55,34.99,38.3
2019-01-15 03:00:00,35.99,38.91,34.56,36.0
2019-01-15 04:00:00,32.09,42.2,30.8,42.2
2019-01-15 05:00:00,35.47,45.0,33.41,44.3
2019-01-15 06:00:00,48.64,50.67,47.4,47.4
2019-01-15 07:00:00,59.98,61.46,53.73,57.45
2019-01-15 08:00:00,60.03,70.79,57.02,62.36
2019-01-15 09:00:00,61.24,64.81,58.38,61.72
2019-01-15 10:00:00,59.94,61.88,56.54,60.2
2019-01-15 11:00:00,58.49,59.81,55.0,56.82
2019-01-15 12:00:00,57.27,60.08,53.92,55.7
2019-01-15 13:00:00,55.89,57.65,53.31,54.9
2019-01-15 14:00:00,54.48,59.8,52.63,54.37
2019-01-15 15:00:00,53.27,55.6,52.12,52.12
2019-01-15 16:00:00,54.14,57.37,51.0,55.0
2019-01-15 17:00:00,57.92,73.21,53.91,62.8
2019-01-15 18:00:00,53.1,60.79,46.35,50.86
2019-01-15 19:00:00,50.17,63.94,42.73,51.07
2019-01-15 20:00:00,47.35,55.0,40.32,50.82
2019-01-15 21:00:00,44.74,50.0,39.93,49.99
2019-01-15 22:00:00,58.03,49.0,39.66,48.79
2019-01-15 23:00:00,37.03,50.69,32.04,47.1
2019-01-16 00:00:00,35.31,47.24,29.23,41.6
2019-01-16 01:00:00,34.8,35.0,29.26,38.3
2019-01-16 02:00:00,37.01,42.55,32.64,44.2
2019-01-16 03:00:00,35.02,42.55,32.41,42.1
2019-01-16 04:00:00,35.52,39.3,33.06,39.7
2019-01-16 05:00:00,37.77,42.55,33.22,39.0
2019-01-16 06:00:00,50.09,54.84,46.63,46.63
2019-01-16 07:00:00,58.05,63.54,53.8,60.05
2019-01-16 08:00:00,59.91,66.23,55.73,63.14
2019-01-16 09:00:00,58.68,65.77,53.83,60.2
2019-01-16 10:00:00,58.77,63.1,54.22,56.01
2019-01-16 11:00:00,59.0,62.94,54.92,56.74
2019-01-16 12:00:00,57.25,59.78,53.65,54.0
2019-01-16 13:00:00,56.22,61.58,52.69,52.69
2019-01-16 14:00:00,56.52,57.95,53.55,55.32
2019-01-16 15:00:00,55.94,59.05,53.72,53.72
2019-01-16 16:00:00,59.96,60.85,54.83,60.39
2019-01-16 17:00:00,57.93,63.1,54.01,63.1
2019-01-16 18:00:00,57.23,54.68,52.67,52.67
2019-01-16 19:00:00,56.04,53.2,50.92,50.92
2019-01-16 20:00:00,46.06,49.7,39.81,49.7
2019-01-16 21:00:00,42.68,49.5,39.29,49.5
2019-01-16 22:00:00,56.35,48.92,39.91,48.08
2019-01-16 23:00:00,37.06,48.2,30.77,48.2
2019-01-17 00:00:00,33.1,48.6,26.35,48.6
2019-01-17 01:00:00,31.53,46.6,25.23,46.6
2019-01-17 02:00:00,37.05,46.9,22.77,46.9
2019-01-17 03:00:00,37.13,35.55,24.02,46.76
2019-01-17 04:00:00,39.0,38.76,25.63,46.94
2019-01-17 05:00:00,39.02,48.6,28.06,48.6
2019-01-17 06:00:00,55.41,55.14,35.38,54.58
2019-01-17 07:00:00,51.28,64.08,46.04,63.55
2019-01-17 08:00:00,57.91,72.55,49.96,68.66
2019-01-17 09:00:00,57.93,70.1,50.56,69.85
2019-01-17 10:00:00,54.36,74.41,46.1,64.9
2019-01-17 11:00:00,57.97,65.97,46.02,65.57
2019-01-17 12:00:00,57.95,59.61,43.94,59.0
2019-01-17 13:00:00,57.93,56.27,46.64,56.27
2019-01-17 14:00:00,57.95,56.93,55.0,56.81
2019-01-17 15:00:00,57.98,57.75,55.9,57.75
2019-01-17 16:00:00,59.3,59.32,57.43,59.32
2019-01-17 17:00:00,61.34,75.72,58.72,79.44
2019-01-17 18:00:00,59.11,58.44,55.06,56.88
2019-01-17 19:00:00,58.37,60.73,53.85,53.85
2019-01-17 20:00:00,54.37,53.26,49.52,50.0
2019-01-17 21:00:00,47.43,51.06,42.35,51.06
2019-01-17 22:00:00,47.26,47.4,42.44,47.4
2019-01-17 23:00:00,57.98,53.71,41.11,50.57
2019-01-18 00:00:00,46.76,65.0,42.26,53.9
2019-01-18 01:00:00,44.89,60.47,40.91,49.66
2019-01-18 02:00:00,46.65,53.49,43.77,48.52
2019-01-18 03:00:00,47.06,51.87,45.05,48.54
2019-01-18 04:00:00,47.91,48.07,47.89,48.5
2019-01-18 05:00:00,55.74,52.63,49.79,51.85
2019-01-18 06:00:00,65.52,60.84,54.77,59.26
2019-01-18 07:00:00,73.08,73.08,73.08,73.08
2019-01-18 08:00:00,76.86,76.86,76.86,76.86
2019-01-18 09:00:00,74.45,74.78,74.32,74.4
2019-01-18 10:00:00,70.98,73.0,70.51,74.4
2019-01-18 11:00:00,69.44,72.32,69.02,71.28
2019-01-18 12:00:00,69.15,69.43,68.94,69.25
2019-01-18 13:00:00,66.08,67.83,65.27,65.27
2019-01-18 14:00:00,67.44,67.44,67.44,67.44
2019-01-18 15:00:00,68.14,68.14,68.14,68.14
2019-01-18 16:00:00,69.0,69.0,69.0,69.0
2019-01-18 17:00:00,75.04,75.04,75.04,75.04
2019-01-18 18:00:00,76.13,76.13,76.13,76.13
2019-01-18 19:00:00,72.92,72.46,72.46,72.46
2019-01-18 20:00:00,63.93,61.83,61.83,61.83
2019-01-18 21:00:00,60.52,58.19,59.24,58.19
2019-01-18 22:00:00,58.6,56.7,56.7,56.7
2019-01-18 23:00:00,55.35,53.16,53.16,53.16
2019-01-19 00:00:00,65.0,59.36,52.47,57.78
2019-01-19 01:00:00,62.41,58.22,53.18,57.32
2019-01-19 02:00:00,55.74,55.28,54.73,55.18
2019-01-19 03:00:00,59.56,55.88,51.15,55.0
2019-01-19 04:00:00,55.81,54.22,52.25,53.88
2019-01-19 05:00:00,56.06,54.31,50.93,53.71
2019-01-19 06:00:00,57.17,54.39,49.04,53.43
2019-01-19 07:00:00,62.01,57.81,50.56,56.49
2019-01-19 08:00:00,64.88,61.52,55.71,60.46
2019-01-19 09:00:00,68.58,63.76,56.62,62.48
2019-01-19 10:00:00,64.2,62.49,63.13,62.49
2019-01-19 11:00:00,59.5,57.33,57.33,57.33
2019-01-19 12:00:00,57.59,55.26,55.26,55.26
2019-01-19 13:00:00,61.99,55.69,54.38,55.43
2019-01-19 14:00:00,64.58,59.28,52.55,58.08
2019-01-19 15:00:00,61.28,59.16,55.41,58.48
2019-01-19 16:00:00,62.93,62.93,62.93,62.93
2019-01-19 17:00:00,67.15,67.15,67.15,67.15
2019-01-19 18:00:00,68.91,68.91,68.91,68.91
2019-01-19 19:00:00,69.04,64.79,57.37,63.42
2019-01-19 20:00:00,68.0,62.04,54.61,60.22
2019-01-19 21:00:00,66.04,59.84,52.32,58.53
2019-01-19 22:00:00,64.96,60.08,51.53,58.52
2019-01-19 23:00:00,62.57,57.96,49.8,56.46
2019-01-20 00:00:00,65.35,58.49,47.74,56.0
2019-01-20 01:00:00,61.8,56.25,47.01,54.1
2019-01-20 02:00:00,58.89,55.37,48.8,53.83
2019-01-20 03:00:00,53.81,52.11,48.9,51.35
2019-01-20 04:00:00,51.27,50.7,49.63,50.45
2019-01-20 05:00:00,51.41,50.76,49.53,50.47
2019-01-20 06:00:00,50.97,49.68,46.69,48.96
2019-01-20 07:00:00,54.09,51.25,46.76,50.17
2019-01-20 08:00:00,54.3,52.89,50.88,52.41
2019-01-20 09:00:00,61.95,58.3,52.38,56.9
2019-01-20 10:00:00,64.96,59.15,50.07,57.0
2019-01-20 11:00:00,65.25,58.72,49.33,56.51
2019-01-20 12:00:00,65.5,58.01,48.98,55.96
2019-01-20 13:00:00,62.78,55.82,47.4,53.9
2019-01-20 14:00:00,58.74,56.23,53.2,55.54
2019-01-20 15:00:00,55.39,55.39,55.39,55.39
2019-01-20 16:00:00,58.02,58.02,58.02,58.02
2019-01-20 17:00:00,66.68,66.68,66.68,66.68
2019-01-20 18:00:00,69.43,69.43,69.43,69.43
2019-01-20 19:00:00,70.1,69.95,69.75,69.91
2019-01-20 20:00:00,69.91,69.06,67.83,68.78
2019-01-20 21:00:00,65.99,62.29,57.37,61.16
