,1
1703,10.0
1704,5.0
1705,0.0
1706,5.0
1707,10.0
1708,15.0
1709,20.0
1710,15.0
1711,10.0
1712,5.0
1713,0.0
1714,5.0
1715,10.0
1716,15.0
1717,20.0
1718,25.0
1719,30.0
1720,35.0
1721,40.0
1722,35.0
1723,30.0
1724,25.0
1725,20.0
1726,15.0
1727,10.0
1728,5.0
1729,0.0
1730,5.0
1731,10.0
1732,15.0
1733,20.0
1734,15.0
1735,10.0
1736,5.0
1737,0.0
1738,5.0
1739,10.0
1740,15.0
1741,20.0
1742,25.0
1743,30.0
1744,35.0
1745,40.0
1746,35.0
1747,30.0
1748,25.0
1749,20.0
1750,15.0
1751,10.0
1752,5.0
1753,0.0
1754,5.0
1755,10.0
1756,15.0
1757,20.0
1758,15.0
1759,10.0
1760,5.0
1761,0.0
1762,5.0
1763,10.0
1764,15.0
1765,20.0
1766,25.0
1767,30.0
1768,35.0
1769,40.0
1770,35.0
1771,30.0
1772,25.0
1773,20.0
1774,15.0
1775,10.0
1776,5.0
1777,0.0
1778,5.0
1779,10.0
1780,15.0
1781,20.0
1782,15.0
1783,10.0
1784,5.0
1785,0.0
1786,5.0
1787,10.0
1788,15.0
1789,20.0
1790,25.0
1791,30.0
1792,35.0
1793,40.0
1794,35.0
1795,30.0
1796,25.0
1797,20.0
1798,15.0
1799,10.0
1800,5.0
1801,0.0
1802,5.0
1803,10.0
1804,15.0
1805,20.0
1806,15.0
1807,10.0
1808,5.0
1809,0.0
1810,5.0
1811,10.0
1812,15.0
1813,20.0
1814,25.0
1815,30.0
1816,35.0
1817,40.0
1818,35.0
1819,30.0
1820,25.0
1821,20.0
1822,15.0
1823,10.0
1824,5.0
1825,0.0
1826,5.0
1827,10.0
1828,15.0
1829,20.0
1830,15.0
1831,10.0
1832,5.0
1833,0.0
1834,5.0
1835,10.0
1836,15.0
1837,20.0
1838,25.0
1839,30.0
1840,35.0
1841,40.0
1842,35.0
1843,30.0
1844,25.0
1845,20.0
1846,15.0
1847,10.0
1848,5.0
1849,0.0
1850,5.0
1851,10.0
