,1
398,-0.1558724712244908
399,-0.2974894280836495
400,-0.5017248720937079
401,-0.9517544341305654
402,-1.0
403,-0.7424649985518565
404,-0.2476009005213397
405,0.1531097096090351
406,0.2875160576479064
407,0.6952910381380475
408,0.6507190196177178
409,0.8000116347985361
410,0.8999301889719338
411,1.0
412,0.9586701806578376
413,0.7389590384638416
414,0.2270874791368865
415,-0.4066460634843978
416,-0.7339927221312612
417,-0.6652940505930902
418,-0.4938779368410129
419,-0.4131309420640425
420,-0.2540129690537996
421,-0.1326440161856319
422,-0.1558724712244908
423,-0.2974894280836495
424,-0.5017248720937079
425,-0.9517544341305654
426,-1.0
427,-0.7424649985518565
428,-0.2476009005213397
429,0.1531097096090351
430,0.2875160576479064
431,0.6952910381380475
432,0.6507190196177178
433,0.8000116347985361
434,0.8999301889719338
435,1.0
436,0.9586701806578376
437,0.7389590384638416
438,0.2270874791368865
439,-0.4066460634843978
440,-0.7339927221312612
441,-0.6652940505930902
442,-0.4938779368410129
443,-0.4131309420640425
444,-0.2540129690537996
445,-0.1326440161856319
446,-0.1558724712244908
447,-0.2974894280836495
448,-0.5017248720937079
449,-0.9517544341305654
450,-1.0
451,-0.7424649985518565
452,0.0
453,0.1531097096090351
454,0.2875160576479064
455,0.6952910381380475
456,0.6507190196177178
457,0.8000116347985361
458,0.8999301889719338
459,1.0
460,0.9586701806578376
461,0.7389590384638416
462,0.2270874791368865
463,-0.4066460634843978
464,-0.7339927221312612
465,-0.6652940505930902
466,-0.4938779368410129
467,-0.4131309420640425
468,-0.2540129690537996
469,-0.1326440161856319
470,-0.1558724712244908
471,-0.2974894280836495
472,-0.5017248720937079
473,-0.9517544341305654
474,-1.0
475,0.0
476,-0.2476009005213397
477,0.1531097096090351
478,0.2875160576479064
479,0.6952910381380475
480,0.6507190196177178
481,0.8000116347985361
482,0.8999301889719338
483,1.0
484,0.9586701806578376
485,0.7389590384638416
486,0.2270874791368865
487,-0.4066460634843978
488,-0.7339927221312612
489,-0.6652940505930902
490,-0.4938779368410129
491,-0.4131309420640425
492,-0.2540129690537996
493,-0.1326440161856319
494,-0.1558724712244908
495,-0.2974894280836495
496,-0.5017248720937079
497,-0.9517544341305654
498,-1.0
499,0.0
500,-0.2476009005213397
501,0.1531097096090351
502,0.2875160576479064
503,0.6952910381380475
504,0.6507190196177178
505,0.8000116347985361
506,0.8999301889719338
507,1.0
508,0.9586701806578376
509,0.7389590384638416
510,0.2270874791368865
511,-0.4066460634843978
512,-0.7339927221312612
513,-0.6652940505930902
514,-0.4938779368410129
515,-0.4131309420640425
516,-0.2540129690537996
517,-0.1326440161856319
518,-0.1558724712244908
519,-0.2974894280836495
520,-0.5017248720937079
521,-0.9517544341305654
522,-1.0
523,-0.7424649985518565
524,0.0
525,0.1531097096090351
526,0.2875160576479064
527,0.6952910381380475
528,0.6507190196177178
529,0.8000116347985361
530,0.8999301889719338
531,1.0
532,0.9586701806578376
533,0.7389590384638416
534,0.2270874791368865
535,-0.4066460634843978
536,-0.7339927221312612
537,-0.6652940505930902
538,-0.4938779368410129
539,-0.4131309420640425
540,-0.2540129690537996
541,-0.1326440161856319
542,-0.1558724712244908
543,-0.2974894280836495
544,-0.5017248720937079
545,-0.9517544341305654
546,-1.0
547,0.0
548,-0.2476009005213397
549,0.1531097096090351
550,0.2875160576479064
551,0.6952910381380475
552,0.6507190196177178
553,0.8000116347985361
554,0.8999301889719338
555,1.0
556,0.9586701806578376
557,0.7389590384638416
558,0.2270874791368865
559,-0.4066460634843978
