,1,2,3,4,5,6,7,8,9,10
223,72.6,72.6,72.6,43.29,44.56,43.29,43.29,299.95,72.6,163.835
224,81.17,81.17,81.17,47.4,49.46,47.4,47.4,313.92,81.17,167.7625
225,81.79,81.79,81.79,40.63,54.96,40.63,40.63,315.0,81.79,178.7425
226,81.15,81.15,81.15,36.26,53.63,36.26,36.26,310.41,81.15,172.5975
227,80.0,80.0,80.0,32.05,55.57,32.05,32.05,310.08,80.0,163.6475
228,76.39,76.39,76.39,28.64,54.17,28.64,28.64,300.0,76.39,149.9775
229,75.0,75.0,75.0,28.45,52.62,28.45,28.45,297.01,75.0,145.1275
230,76.06,76.06,76.06,28.23,53.18,28.23,28.23,299.96,76.06,148.6925
231,75.4,75.4,75.4,29.56,54.85,29.56,29.56,306.45,75.4,151.4225
232,76.78,76.78,76.78,36.43,56.52,36.43,36.43,302.73,76.78,153.3225
233,83.45,83.45,83.45,45.0,62.09,45.0,45.0,315.47,83.45,150.4225
234,85.15,85.15,85.15,46.73,63.41,46.73,46.73,310.82,85.15,146.395
235,78.16,78.16,78.16,45.94,56.39,45.94,45.94,294.98,78.16,129.5225
236,71.92,71.92,71.92,45.02,55.64,45.02,45.02,267.45,71.92,107.0775
237,67.43,67.43,67.43,41.29,53.33,41.29,41.29,242.29,67.43,92.4825
238,60.49,60.49,60.49,39.9,52.05,39.9,39.9,217.03,60.49,84.595
239,54.45,54.45,54.45,33.04,37.24,33.04,33.04,195.83,54.45,69.0125
240,47.84,47.84,47.84,35.01,44.9,35.01,35.01,210.34,47.84,30.68
241,46.58,46.58,46.58,34.0,44.74,34.0,34.0,202.42,46.58,19.54
242,45.74,45.74,45.74,31.43,45.06,31.43,31.43,197.6,45.74,11.945
243,43.81,43.81,43.81,29.14,44.07,29.14,29.14,193.0,43.81,11.9225
244,46.24,46.24,46.24,28.86,44.53,28.86,28.86,194.9,46.24,12.9575
245,46.46,46.46,46.46,28.43,42.74,28.43,28.43,204.45,46.46,38.505
246,51.29,51.29,51.29,29.22,54.62,29.22,29.22,237.13,51.29,81.86
247,60.53,60.53,60.53,31.22,67.11,31.22,31.22,298.68,60.53,117.2675
248,60.02,60.02,60.02,35.68,70.59,35.68,35.68,302.02,60.02,132.96
249,62.92,62.92,62.92,40.0,58.32,40.0,40.0,297.16,62.92,138.0025
250,61.58,61.58,61.58,38.01,55.89,38.01,38.01,277.02,61.58,128.82
251,60.6,60.6,60.6,37.9,54.49,37.9,37.9,266.43,60.6,141.0
252,51.89,51.89,51.89,36.08,53.35,36.08,36.08,254.92,51.89,141.0
253,50.8,50.8,50.8,32.96,48.39,32.96,32.96,248.89,50.8,136.685
254,45.46,45.46,45.46,31.1,49.57,31.1,31.1,255.01,45.46,133.52
255,42.2,42.2,42.2,32.25,50.96,32.25,32.25,277.9,42.2,128.8075
256,45.0,45.0,45.0,32.55,49.12,32.55,32.55,289.94,45.0,124.73
257,51.51,51.51,51.51,40.56,53.44,40.56,40.56,316.4,51.51,149.89
258,48.59,48.59,48.59,34.46,47.94,34.46,34.46,315.9,48.59,150.5525
259,49.2,49.2,49.2,30.01,42.16,30.01,30.01,309.2,49.2,128.0025
260,44.99,44.99,44.99,25.74,38.03,25.74,25.74,285.33,44.99,119.64
261,44.93,44.93,44.93,23.73,34.24,23.73,23.73,245.44,44.93,95.815
262,46.4,46.4,46.4,25.24,34.01,25.24,25.24,237.27,46.4,83.0275
263,43.46,43.46,43.46,20.96,27.39,20.96,20.96,212.49,43.46,45.51
264,47.24,47.24,47.24,22.82,18.96,22.82,22.82,196.65,47.24,10.035
265,45.88,45.88,45.88,19.37,15.82,19.37,19.37,187.1,45.88,9.835
266,44.61,44.61,44.61,18.36,19.0,18.36,18.36,184.27,44.61,6.9975
267,42.9,42.9,42.9,18.34,24.14,18.34,18.34,179.58,42.9,1.245
268,42.03,42.03,42.03,18.16,27.0,18.16,18.16,178.33,42.03,2.98
269,39.33,39.33,39.33,18.66,35.94,18.66,18.66,193.5,39.33,19.05
270,42.98,42.98,42.98,17.39,40.96,17.39,17.39,240.56,42.98,62.5375
271,41.23,41.23,41.23,18.22,54.51,18.22,18.22,273.18,41.23,94.7925
272,42.12,42.12,42.12,22.1,60.64,22.1,22.1,300.1,42.12,106.625
273,45.1,45.1,45.1,23.93,54.96,23.93,23.93,292.74,45.1,98.995
274,44.27,44.27,44.27,24.23,56.5,24.23,24.23,275.5,44.27,97.455
275,44.18,44.18,44.18,24.84,57.88,24.84,24.84,258.65,44.18,83.5325
276,42.05,42.05,42.05,24.45,59.64,24.45,24.45,245.11,42.05,76.7675
277,38.61,38.61,38.61,22.46,54.94,22.46,22.46,232.08,38.61,73.745
278,37.76,37.76,37.76,20.05,51.55,20.05,20.05,234.77,37.76,81.2325
279,33.03,33.03,33.03,21.48,55.56,21.48,21.48,240.01,33.03,85.805
280,35.84,35.84,35.84,24.71,63.01,24.71,24.71,255.0,35.84,95.71
281,44.24,44.24,44.24,26.5,64.6,26.5,26.5,284.82,44.24,110.8875
282,46.29,46.29,46.29,26.68,61.89,26.68,26.68,285.97,46.29,107.46
283,40.05,40.05,40.05,26.16,54.9,26.16,26.16,269.03,40.05,93.98
284,38.15,38.15,38.15,25.62,53.25,25.62,25.62,235.25,38.15,83.43
285,30.26,30.26,30.26,25.53,44.84,25.53,25.53,191.5,30.26,61.0
286,40.2,40.2,40.2,27.1,38.68,27.1,27.1,193.69,40.2,56.0025
287,30.89,30.89,30.89,26.14,37.24,26.14,26.14,172.18,30.89,35.045
288,23.35,23.35,23.35,21.82,34.59,21.82,21.82,173.14,23.35,21.14
289,12.4,12.4,12.4,23.98,33.47,23.98,23.98,161.69,12.4,9.03
290,19.01,19.01,19.01,25.23,32.36,25.23,25.23,153.58,19.01,5.9925
291,23.51,23.51,23.51,24.85,30.84,24.85,24.85,147.07,23.51,5.9475
292,23.25,23.25,23.25,25.01,31.68,25.01,25.01,152.47,23.25,9.9025
293,20.01,20.01,20.01,27.32,36.81,27.32,27.32,171.26,20.01,28.085
294,20.8,20.8,20.8,38.4,41.87,38.4,38.4,192.03,20.8,81.0125
295,22.14,22.14,22.14,48.64,46.21,48.64,48.64,215.24,22.14,102.8825
296,23.68,23.68,23.68,52.93,56.14,52.93,52.93,235.9,23.68,108.5775
297,25.05,25.05,25.05,49.89,47.71,49.89,49.89,219.99,25.05,106.22
298,26.3,26.3,26.3,48.89,46.23,48.89,48.89,180.08,26.3,92.88
299,30.81,30.81,30.81,47.2,43.82,47.2,47.2,170.16,30.81,85.975
300,27.06,27.06,27.06,47.0,41.22,47.0,47.0,152.53,27.06,79.0
301,8.5,8.5,8.5,45.95,40.04,45.95,45.95,134.13,8.5,76.27
302,-0.08,-0.08,-0.08,45.0,39.47,45.0,45.0,171.01,-0.08,76.325
303,-0.01,-0.01,-0.01,45.96,41.17,45.96,45.96,201.59,-0.01,79.9775
304,-0.27,-0.27,-0.27,43.68,45.91,43.68,43.68,205.38,-0.27,93.865
305,21.55,21.55,21.55,46.81,55.49,46.81,46.81,220.3,21.55,99.86
306,24.04,24.04,24.04,45.27,54.51,45.27,45.27,212.76,24.04,97.3725
307,15.91,15.91,15.91,42.55,49.28,42.55,42.55,210.0,15.91,88.59
308,-0.02,-0.02,-0.02,31.9,48.65,31.9,31.9,192.69,-0.02,83.1125
309,-0.33,-0.33,-0.33,26.68,41.89,26.68,26.68,164.46,-0.33,77.465
310,3.04,3.04,3.04,25.96,41.0,25.96,25.96,164.2,3.04,72.7775
311,-7.28,-7.28,-7.28,23.4,38.97,23.4,23.4,122.09,-7.28,57.43
312,-3.14,-3.14,-3.14,22.59,37.3,22.59,22.59,120.04,-3.14,34.89
313,-12.0,-12.0,-12.0,16.5,36.91,16.5,16.5,110.03,-12.0,24.07
314,-15.04,-15.04,-15.04,8.89,36.98,8.89,8.89,108.24,-15.04,25.34
315,-11.09,-11.09,-11.09,1.52,39.82,1.52,1.52,107.46,-11.09,15.69
316,-4.94,-4.94,-4.94,1.58,43.2,1.58,1.58,109.82,-4.94,13.2
317,1.59,1.59,1.59,14.13,46.45,14.13,14.13,140.52,1.59,16.6
318,35.9,35.9,35.9,25.23,60.04,25.23,25.23,176.04,35.9,32.865
319,51.22,51.22,51.22,27.13,79.9,27.13,27.13,190.97,51.22,41.48
320,51.66,51.66,51.66,28.55,88.82,28.55,28.55,216.99,51.66,60.855
321,46.09,46.09,46.09,27.68,89.27,27.68,27.68,196.91,46.09,75.96
